A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	1	#	0	0	#	0	1.0	1.0	10	0	3982	180	0.6666666666666666	0	239	239
1	1	0	0	0	0	0	1.0	1.0	21	0	3963	182	1.0	0	60	60
1	#	1	0	1	0	0	0.032585279083595056	0.5042016806722689	3	0	3975	182	0.8333333333333334	0	60	119
#	#	0	#	0	1	1	0.007441718874976714	0.3752620545073375	2	0	3998	183	0.5	0	179	477
0	0	0	0	1	#	0	1.0	1.0	16	0	3976	188	0.8333333333333334	0	120	120
#	1	#	#	#	1	0	0.0009972516483354285	0.2510504201680672	3	0	3982	188	0.3333333333333333	0	239	952
1	0	0	0	#	1	1	0.029958857775924084	0.4957983193277311	5	0	3938	191	0.8333333333333334	0	59	119
0	0	0	0	1	0	0	1.0	1.0	13	0	3976	191	1.0	0	60	60
0	1	#	#	1	1	1	0.03125	0.5	3	0	3995	192	0.6666666666666666	0	119	238
#	1	1	#	#	0	0	0.24147954434061325	0.7526205450733753	5	0	3992	192	0.5	0	359	477
1	0	#	0	1	#	1	1.0	1.0	13	0	3997	193	0.6666666666666666	0	237	237
0	0	#	#	0	0	0	0.030596257441187054	0.4978902953586498	6	0	3962	195	0.6666666666666666	0	118	237
0	1	0	1	#	#	1	1.0	1.0	9	0	3998	195	0.6666666666666666	0	238	238
#	0	0	#	0	#	1	0.0	0.0	2	0	197	197	0.5	0	0	474
0	0	0	1	0	#	0	1.0	1.0	9	0	3973	199	0.8333333333333334	0	118	118
#	0	0	1	#	1	0	0.2323403299440141	0.7468354430379747	8	0	3973	199	0.6666666666666666	0	177	237
1	1	0	#	0	0	1	0.0	0.0	2	0	200	200	0.8333333333333334	0	0	118
0	#	0	#	#	0	0	0.23814203560001493	0.7505285412262156	7	0	3985	201	0.5	0	355	473
0	1	0	0	1	1	0	1.0	1.0	9	0	3972	202	1.0	0	59	59
#	#	1	1	0	1	1	0.2323403299440141	0.7468354430379747	3	0	3980	206	0.6666666666666666	0	177	237
#	#	#	1	#	#	1	0.095367431640625	0.625	1	0	3998	207	0.16666666666666666	0	1185	1896
1	0	1	0	1	#	1	1.0	1.0	8	0	3997	207	0.8333333333333334	0	119	119
#	0	#	1	#	#	1	0.03158103517945149	0.5010548523206751	3	0	3991	209	0.3333333333333333	0	475	948
1	#	0	#	0	#	0	0.23564056582659823	0.7489451476793249	10	0	3994	210	0.5	0	355	474
1	0	0	1	0	0	0	1.0	1.0	17	0	3966	211	1.0	0	59	59
1	1	0	#	#	0	0	1.0	1.0	8	0	3970	213	0.6666666666666666	0	236	236
1	#	0	0	0	0	1	0.0	0.0	2	0	216	216	0.8333333333333334	0	0	119
#	1	1	#	#	#	0	0.03125	0.5	3	0	3992	220	0.3333333333333333	0	472	944
1	1	0	0	#	#	0	0.03125	0.5	6	0	3963	221	0.6666666666666666	0	118	236
1	#	0	0	0	#	0	0.2373046875	0.75	10	0	3994	222	0.6666666666666666	0	177	236
0	#	0	#	#	#	0	0.2373046875	0.75	3	0	3985	223	0.3333333333333333	0	708	944
0	1	1	0	#	#	0	1.0	1.0	7	0	3982	224	0.6666666666666666	0	236	236
0	#	0	0	0	0	0	1.0	1.0	19	0	3961	225	0.8333333333333334	0	118	118
#	#	0	1	0	1	0	0.03125	0.5	1	0	3973	226	0.6666666666666666	0	118	236
#	#	#	0	#	0	0	0.23983456533865202	0.7515923566878981	5	0	3994	227	0.3333333333333333	0	708	942
0	1	0	0	0	#	0	1.0	1.0	13	0	3967	228	0.8333333333333334	0	118	118
#	#	0	0	#	#	1	0.0009458554554508607	0.2484076433121019	2	0	3996	229	0.3333333333333333	0	234	942
#	0	0	#	0	0	1	0.0	0.0	1	0	235	235	0.6666666666666666	0	0	235
0	0	0	0	0	#	0	1.0	1.0	13	0	3950	236	0.8333333333333334	0	117	117
0	#	0	1	0	#	1	0.03059074102380611	0.4978723404255319	4	0	3998	239	0.6666666666666666	0	117	235
#	0	#	#	#	1	0	0.031084305781922943	0.49946865037194477	3	0	3999	239	0.3333333333333333	0	470	941
#	1	1	#	#	#	1	0.031084305781922943	0.49946865037194477	1	0	3993	241	0.3333333333333333	0	470	941
#	1	#	1	0	0	0	0.03192057641682165	0.502127659574468	4	0	3974	241	0.6666666666666666	0	118	235
1	#	0	#	1	1	1	1.0	1.0	14	0	3991	243	0.6666666666666666	0	234	234
0	0	0	#	1	0	0	1.0	1.0	10	0	3976	245	0.8333333333333334	0	117	117
0	#	0	0	1	#	0	1.0	1.0	8	0	3985	246	0.6666666666666666	0	236	236
1	0	#	#	1	#	1	1.0	1.0	10	0	3997	247	0.5	0	467	467
#	#	0	0	1	0	0	0.24070441269615173	0.7521367521367521	3	0	3985	249	0.6666666666666666	0	176	234
1	0	0	#	#	0	0	0.032608494584992084	0.5042735042735043	4	0	3994	250	0.6666666666666666	0	118	234
1	#	#	#	0	0	0	1.0	1.0	15	0	3994	251	0.5	0	471	471
#	0	#	0	#	#	0	0.03125	0.5	5	0	3994	252	0.3333333333333333	0	469	938
1	#	1	0	1	#	0	0.0010190154557810026	0.25213675213675213	3	0	3975	253	0.6666666666666666	0	59	234
0	#	#	0	0	0	0	0.23225583640721675	0.7467811158798283	8	0	3961	256	0.6666666666666666	0	174	233
1	0	0	0	0	#	0	1.0	1.0	15	0	3994	260	0.8333333333333334	0	118	118
0	0	0	1	#	0	0	1.0	1.0	10	0	3962	260	0.8333333333333334	0	116	116
#	0	0	1	0	#	1	0.0	0.0	1	0	263	263	0.6666666666666666	0	0	232
#	1	1	1	#	#	0	0.0009976994327132933	0.2510729613733906	1	0	3986	265	0.5	0	117	466
#	#	#	1	0	0	1	0.007336374234779091	0.3741935483870968	2	0	3969	266	0.5	0	174	465
#	1	#	1	#	#	0	0.0009765625	0.25	1	0	3986	266	0.3333333333333333	0	233	932
0	1	0	0	0	0	0	1.0	1.0	17	0	3961	267	1.0	0	58	58
#	0	#	0	0	0	0	0.24070441269615173	0.7521367521367521	12	0	3994	267	0.6666666666666666	0	176	234
1	#	#	0	0	0	0	1.0	1.0	10	0	3994	268	0.6666666666666666	0	235	235
#	#	#	0	#	1	0	0.03074974352994275	0.4983888292158969	2	0	3982	279	0.3333333333333333	0	464	931
0	#	#	0	#	1	1	0.0009765625	0.25	3	0	3987	280	0.5	0	116	464
1	0	#	0	#	0	0	0.03125	0.5	3	0	3994	282	0.6666666666666666	0	116	232
1	#	1	#	1	#	0	0.0009661068951149416	0.24946236559139784	3	0	3986	282	0.5	0	116	465
#	1	#	#	1	0	0	0.2373046875	0.75	5	0	3986	284	0.5	0	348	464
#	#	#	0	1	0	0	0.09640177588145056	0.6263498920086393	6	0	3985	288	0.5	0	290	463
#	0	0	0	#	0	1	0.0009147751931370566	0.24675324675324675	1	0	3937	289	0.6666666666666666	0	57	231
1	#	#	1	0	#	0	0.2373046875	0.75	11	0	3999	289	0.5	0	348	464
#	0	0	#	0	0	0	1.0	1.0	16	0	3994	291	0.6666666666666666	0	232	232
1	#	0	#	0	0	0	1.0	1.0	15	0	3994	292	0.6666666666666666	0	232	232
#	1	0	0	#	#	0	0.2373046875	0.75	6	0	3985	293	0.5	0	348	464
0	0	#	1	#	0	0	0.03125	0.5	3	0	3962	293	0.6666666666666666	0	116	232
1	0	#	1	0	#	0	1.0	1.0	16	0	3999	294	0.6666666666666666	0	231	231
#	1	#	1	0	0	1	0.030579424113337098	0.49783549783549785	2	0	3957	295	0.6666666666666666	0	115	231
0	0	0	1	#	0	1	0.0	0.0	1	0	297	297	0.8333333333333334	0	0	116
1	1	0	0	0	#	0	0.03125	0.5	5	0	3963	297	0.8333333333333334	0	58	116
0	1	0	0	1	#	0	1.0	1.0	12	0	3985	298	0.8333333333333334	0	116	116
0	1	0	0	1	0	1	0.0	0.0	2	0	302	302	1.0	0	0	58
0	#	0	0	#	1	0	1.0	1.0	11	0	3972	303	0.6666666666666666	0	231	231
#	#	#	#	#	0	0	0.09645668176685471	0.6264212236058473	1	0	3994	304	0.16666666666666666	0	1157	1847
#	0	#	0	#	1	0	0.03125	0.5	1	0	3977	304	0.5	0	231	462
#	0	0	0	1	1	1	0.029914729255417254	0.4956521739130435	2	0	3938	306	0.8333333333333334	0	57	115
1	0	#	0	0	0	0	1.0	1.0	7	0	3994	306	0.8333333333333334	0	116	116
1	#	0	#	#	#	0	0.031762284157648694	0.501628664495114	2	0	3994	309	0.3333333333333333	0	462	921
0	#	0	0	#	0	0	1.0	1.0	19	0	3985	309	0.6666666666666666	0	231	231
0	0	0	0	#	#	0	1.0	1.0	17	0	3976	310	0.6666666666666666	0	230	230
0	1	1	0	#	0	1	0.0	0.0	2	0	310	310	0.8333333333333334	0	0	115
#	0	#	#	0	#	0	0.23687649438265332	0.7497291440953413	6	0	3999	311	0.3333333333333333	0	692	923
1	#	#	0	#	0	0	0.24162548958220545	0.7527114967462039	6	0	3994	312	0.5	0	347	461
0	#	#	#	0	0	0	0.0305736187019339	0.4978165938864629	3	0	3962	314	0.5	0	228	458
0	#	0	0	1	1	0	1.0	1.0	8	0	3972	315	0.8333333333333334	0	116	116
1	0	#	0	#	#	1	0.0305765339178727	0.49782608695652175	3	0	3997	316	0.5	0	229	460
0	#	0	#	1	#	0	0.23559746662675993	0.7489177489177489	7	0	3985	316	0.5	0	346	462
#	1	0	0	0	#	0	0.23216841701781052	0.7467248908296943	6	0	3967	319	0.6666666666666666	0	171	229
0	1	#	1	#	0	0	0.0	0.0	3	0	319	319	0.6666666666666666	0	0	229
#	#	#	#	1	1	0	0.0009450631490324207	0.24836601307189543	2	0	3972	325	0.3333333333333333	0	228	918
0	1	#	0	1	1	1	0.0	0.0	2	0	325	325	0.8333333333333334	0	0	114
0	1	0	1	#	0	1	1.0	1.0	10	0	3968	331	0.8333333333333334	0	114	114
#	#	1	0	0	0	0	0.24076388112473182	0.7521739130434782	7	0	3992	334	0.6666666666666666	0	173	230
0	1	#	1	#	1	1	1.0	1.0	8	0	3998	337	0.6666666666666666	0	230	230
0	0	0	0	1	0	1	0.0	0.0	2	0	342	342	1.0	0	0	57
#	1	1	#	0	0	0	0.2373046875	0.75	9	0	3992	348	0.6666666666666666	0	171	228
1	#	#	0	1	0	0	0.03125	0.5	6	0	3975	349	0.6666666666666666	0	114	228
#	#	0	#	#	#	1	0.007381934291892155	0.3746571585298958	3	0	3998	353	0.16666666666666666	0	683	1823
1	#	0	0	1	1	1	1.0	1.0	7	0	3964	355	0.8333333333333334	0	113	113
0	#	0	#	#	#	1	0.0009605885399574056	0.2491767288693743	2	0	3998	359	0.3333333333333333	0	227	911
